Netid State Recv-Q Send-Q                                          Local Address:Port     Peer Address:Port  Process
u_str ESTAB 0      0                                                           * 33844               * 30068        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 25646               * 16242        
u_str ESTAB 0      0                                                           * 18731               * 20662        
u_str ESTAB 0      0                                                           * 840608              * 848135       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 49113               * 57600        
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 18768               * 25694        
u_str ESTAB 0      0                                                           * 5994                * 16133        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 14728               * 15579        
u_str ESTAB 0      0                                                           * 25616               * 19763        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 799073              * 797109       
u_dgr ESTAB 0      0                                                           * 20579               * 6668         
u_str ESTAB 0      0                                                           * 832644              * 832643       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 831530              * 830840       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 801069              * 802182       
u_str ESTAB 0      0                                                           * 805045              * 802958       
u_str ESTAB 0      0                                                           * 786634              * 779694       
u_str ESTAB 0      0                                          /run/user/1000/bus 18692               * 15345        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 20573               * 6011         
u_str ESTAB 0      0                                                           * 30988               * 30987        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 16239               * 17352        
u_str ESTAB 0      0                                                           * 16238               * 17348        
u_str ESTAB 0      0                                          /run/user/1000/bus 16194               * 22649        
u_str ESTAB 0      0                                                           * 823076              * 823077       
u_seq ESTAB 0      0                                                           * 822846              * 822847       
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-37S2LrHF 805099              * 797549       
u_str ESTAB 544    0                                                           * 773655              * 775152       
u_str ESTAB 0      0                                                           * 24271               * 24270        
u_str ESTAB 0      0                                          /run/user/1000/bus 24669               * 20683        
u_str ESTAB 0      0                                                           * 19704               * 6041         
u_str ESTAB 0      0                                                           * 834857              * 834856       
u_str ESTAB 0      0                                          @/tmp/.X11-unix/X0 826186              * 826943       
u_str ESTAB 0      0                                                           * 828132              * 828133       
u_str ESTAB 0      3840                                       /run/user/1000/bus 17384               * 21667        
u_str ESTAB 0      0                                                           * 15199               * 5090         
u_str ESTAB 0      0                                                           * 822205              * 822206       
u_str ESTAB 0      0                                                           * 824685              * 826608       
u_str ESTAB 0      0                                                           * 791297              * 792573       
u_str ESTAB 0      0                                          /run/user/1000/bus 796412              * 792567       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 23784               * 17405        
u_str ESTAB 0      0                                                           * 18754               * 17728        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24587               * 16174        
u_str ESTAB 0      0                                                           * 17715               * 16162        
u_str ESTAB 0      0                                          /run/user/1000/bus 17700               * 19732        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 11795               * 8849         
u_str ESTAB 0      0                                                           * 829223              * 829224       
u_str ESTAB 0      0                                                           * 826943              * 826186       
u_str ESTAB 0      0                                                           * 10179               * 5927         
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 11847               * 10692        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 17391               * 23781        
u_str ESTAB 0      0                                                           * 20689               * 18767        
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 5115                * 19623        
u_dgr ESTAB 0      0                                                           * 15177               * 6668         
u_dgr ESTAB 0      0                                                           * 237                 * 238          
u_str ESTAB 0      0                                          /run/user/1000/bus 826608              * 824685       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 18766               * 21668        
u_str ESTAB 0      0                                          /run/user/1000/bus 18694               * 17717        
u_str ESTAB 40     0                                                           * 829832              * 826188       
u_str ESTAB 0      0                                                           * 775143              * 781577       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 770164              * 765476       
u_str ESTAB 680    0                                                           * 18762               * 17381        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 14285               * 15858        
u_dgr ESTAB 0      0                                                           * 14055               * 6668         
u_str ESTAB 0      0                                                           * 827234              * 827235       
u_str ESTAB 0      0                                                           * 829224              * 829223       
u_str ESTAB 0      0                                                           * 23662               * 18730        
u_str ESTAB 0      0                                                           * 19622               * 18632        
u_str ESTAB 0      0                                                           * 10209               * 10208        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 12925               * 10987        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 14007               * 14006        
u_str ESTAB 0      0                                                           * 828133              * 828132       
u_str ESTAB 0      0                                                           * 792567              * 796412       
u_str ESTAB 0      0                                          /run/user/1000/bus 781577              * 775143       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24585               * 17711        
u_str ESTAB 56     0                                                           * 16107               * 15272        
u_str ESTAB 0      0                                                           * 14745               * 14746        
u_str ESTAB 0      0                                                           * 829879              * 829880       
u_str ESTAB 0      0                                                           * 824871              * 819141       
u_str ESTAB 0      0                                          /run/user/1000/bus 16297               * 19820        
u_str ESTAB 0      0                                                           * 18774               * 19810        
u_str ESTAB 0      0                                                           * 21535               * 6033         
u_str ESTAB 0      0                                 /run/user/1000/pulse/native 794111              * 797931       
u_str ESTAB 0      0                                                           * 23667               * 17367        
u_str ESTAB 0      0                                                           * 19623               * 5115         
u_str ESTAB 0      0                                                           * 10194               * 12200        
u_str ESTAB 0      0                                        @/tmp/.ICE-unix/2436 836277              * 846389       
u_seq ESTAB 0      0                                                           * 811079              * 811080       
u_str ESTAB 0      0                                          /run/user/1000/bus 802273              * 797527       
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-hSi5P5ud 781585              * 775149       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 22655               * 18735        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 843880              * 838084       
u_str ESTAB 0      0                                                           * 778541              * 781599       
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 17371               * 20676        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15349               * 19748        
u_str ESTAB 0      0                                                           * 17711               * 24585        
u_str ESTAB 0      768                               /run/dbus/system_bus_socket 15272               * 16107        
u_str ESTAB 0      0                                                           * 846389              * 836277       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 5964                * 21510        
u_str ESTAB 0      0                                                           * 10208               * 10209        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 629                 * 9788         
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-dLmVrHNM 821353              * 819491       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 18730               * 23662        
u_str ESTAB 0      0                                                           * 10989               * 10990        
u_dgr ESTAB 0      0                                                           * 238                 * 237          
u_str ESTAB 0      0                                                           * 828134              * 828135       
u_str ESTAB 0      0                                                           * 787678              * 784873       
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-cqmgUa8i 783361              * 775144       
u_str ESTAB 0      0                                                           * 741430              * 0            
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 25704               * 18790        
u_str ESTAB 0      0                                          /run/user/1000/bus 25666               * 17727        
u_str ESTAB 0      0                                                           * 8849                * 11795        
u_str ESTAB 0      0                                                           * 847386              * 847387       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 19827               * 27683        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 628                 * 14693        
u_str ESTAB 0      0                                                           * 846181              * 846180       
u_str ESTAB 0      0                                                           * 822915              * 822914       
u_str ESTAB 0      0                                                           * 821047              * 821046       
u_str ESTAB 0      0                                                           * 822503              * 822502       
u_str ESTAB 0      0                                          /run/user/1000/bus 23684               * 23683        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 5927                * 10179        
u_str ESTAB 0      0                                                           * 10990               * 10989        
u_str ESTAB 0      0                                                           * 828236              * 828235       
u_str ESTAB 0      0                                                           * 820344              * 821356       
u_str ESTAB 0      0                                                           * 800162              * 809061       
u_str ESTAB 0      0                                                           * 792561              * 800817       
u_str ESTAB 0      0                                          /run/user/1000/bus 781599              * 778541       
u_str ESTAB 0      0                                                           * 824868              * 824867       
u_seq ESTAB 0      0                                                           * 820588              * 820589       
u_str ESTAB 0      0                                                           * 775149              * 781585       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 57730               * 60016        
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 19877               * 27720        
u_str ESTAB 0      0                                                           * 17768               * 18763        
u_str ESTAB 0      0                                                           * 18750               * 17724        
u_dgr ESTAB 0      0                                                           * 7899                * 6670         
u_str ESTAB 0      0                                                           * 826944              * 826187       
u_str ESTAB 0      0                                                           * 802565              * 802564       
u_str ESTAB 0      0                                                           * 10176               * 5925         
u_str ESTAB 0      0                                                           * 14006               * 14007        
u_str ESTAB 0      0                                                           * 821076              * 821075       
u_str ESTAB 0      768                                        /run/user/1000/bus 824870              * 829049       
u_str ESTAB 0      0                                                           * 797546              * 803189       
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 24661               * 23719        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 6041                * 19704        
u_str ESTAB 0      0                                          /run/user/1000/bus 843881              * 835575       
u_str ESTAB 0      0                                                           * 828141              * 828140       
u_str ESTAB 0      0                                                           * 765476              * 770164       
u_str ESTAB 0      0                                          /run/user/1000/bus 17728               * 18754        
u_str ESTAB 0      0                                                           * 16174               * 24587        
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 800819              * 792566       
u_str ESTAB 0      0                                                           * 21637               * 19772        
u_str ESTAB 0      0                                                           * 17712               * 24586        
u_str ESTAB 0      0                      /run/systemd/oom/io.systemd.ManagedOOM 5090                * 15199        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 14724               * 8880         
u_str ESTAB 0      0                                                           * 829047              * 832639       
u_str ESTAB 0      0                                                           * 834856              * 834857       
u_str ESTAB 0      0                                          @/tmp/.X11-unix/X0 826187              * 826944       
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 781598              * 773654       
u_dgr ESTAB 0      0                                                           * 14719               * 6668         
u_str ESTAB 0      0                                                           * 9802                * 15567        
u_str ESTAB 0      0                                                           * 838084              * 843880       
u_str ESTAB 0      0                                          /run/user/1000/bus 819141              * 824871       
u_str ESTAB 0      0                                                           * 777960              * 769840       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 19812               * 18775        
u_str ESTAB 0      0                                                           * 20676               * 17371        
u_str ESTAB 0      0                                          /run/user/1000/bus 25636               * 21654        
u_str ESTAB 0      0                                                           * 834922              * 825226       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 24676               * 17387        
u_str ESTAB 0      0                                                           * 17769               * 21669        
u_str ESTAB 0      0                                                           * 826945              * 826946       
u_str ESTAB 0      0                                                           * 22568               * 17295        
u_str ESTAB 0      0                                                           * 821046              * 821047       
u_str ESTAB 0      0                                          /run/user/1000/bus 17604               * 19626        
u_str ESTAB 0      0                                                           * 4961                * 10114        
u_dgr ESTAB 0      0                                                           * 8347                * 6644         
u_str ESTAB 0      0                                                           * 828234              * 828233       
u_str ESTAB 0      0                                                           * 777961              * 775146       
u_str ESTAB 0      0                                                           * 19801               * 23722        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24586               * 17712        
u_str ESTAB 0      0                                                           * 824867              * 824868       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 801459              * 805092       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 769837              * 781575       
u_str ESTAB 0      0                                                           * 18788               * 23786        
u_str ESTAB 0      0                                                           * 21595               * 23646        
u_str ESTAB 0      0                                                           * 827221              * 823097       
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-91x6n3kg 804170              * 797547       
u_str ESTAB 0      0                                                           * 23880               * 23881        
u_str ESTAB 0      0                                                           * 19680               * 17675        
u_str ESTAB 0      0                                                           * 834860              * 834861       
u_str ESTAB 0      0                                          @/tmp/.X11-unix/X0 832639              * 829047       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 17295               * 22568        
u_str ESTAB 0      0                                          /run/user/1000/bus 777216              * 791298       
u_seq ESTAB 0      0                                                           * 27784               * 27783        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 23786               * 18788        
u_str ESTAB 0      0                                                           * 19807               * 23765        
u_str ESTAB 0      0                                                           * 15159               * 17588        
u_str ESTAB 0      0                                                           * 830144              * 832510       
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 786633              * 787673       
u_str ESTAB 0      0                                                           * 17792               * 21680        
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-uQFuOsP8 24672               * 17365        
u_str ESTAB 0      0                                                           * 827031              * 827032       
u_str ESTAB 0      0                                                           * 797513              * 802268       
u_str ESTAB 0      0                                                           * 23705               * 17369        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15549               * 10722        
u_str ESTAB 0      0                                                           * 9788                * 629          
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 10629               * 7879         
u_str ESTAB 0      0                                                           * 828142              * 828143       
u_str ESTAB 0      0                                                           * 787587              * 787588       
u_str ESTAB 0      0                                                           * 19819               * 18795        
u_str ESTAB 0      0                                          /run/user/1000/bus 6106                * 21642        
u_str ESTAB 0      0                                                           * 835575              * 843881       
u_str ESTAB 0      0                                          /run/user/1000/bus 778542              * 781602       
u_str ESTAB 0      0                                                           * 18793               * 19814        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 17207               * 15198        
u_str ESTAB 0      0                                                           * 773649              * 778540       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 828046              * 831529       
u_str ESTAB 0      0                                                           * 797931              * 794111       
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 17369               * 23705        
u_dgr ESTAB 0      0                                                           * 8956                * 6670         
u_str ESTAB 0      0                                                           * 10289               * 13546        
u_str ESTAB 0      0                                                           * 828139              * 828138       
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 777116              * 794113       
u_str ESTAB 0      0                                                           * 787679              * 784874       
u_str ESTAB 0      0                                                           * 771084              * 770165       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 16215               * 18737        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 738628              * 741431       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 23785               * 17406        
u_str ESTAB 0      0                                                           * 25700               * 25701        
u_str ESTAB 0      0                                                           * 831599              * 831598       
u_str ESTAB 0      0                                                           * 23881               * 23880        
u_str ESTAB 0      0                                                           * 834858              * 834859       
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 823097              * 827221       
u_str ESTAB 0      0                                                           * 822502              * 822503       
u_str ESTAB 0      0                                          /run/user/1000/bus 17678               * 22567        
u_str ESTAB 0      0                                                           * 10987               * 12925        
u_str ESTAB 0      0                                                           * 828045              * 826910       
u_str ESTAB 0      0                                                           * 781602              * 778542       
u_str ESTAB 0      0                                                           * 14721               * 14720        
u_str ESTAB 0      0                                                           * 794113              * 777116       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 784874              * 787679       
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-3nQY53MV 23765               * 19807        
u_str ESTAB 0      0                                                           * 18735               * 22655        
u_str ESTAB 0      0                                                           * 831598              * 831599       
u_str ESTAB 0      0                                 /run/user/1000/pulse/native 840607              * 846391       
u_str ESTAB 0      0                                                           * 821048              * 821049       
u_seq ESTAB 0      0                                                           * 811080              * 811079       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 5926                * 10177        
u_str ESTAB 0      0                                                           * 9814                * 9815         
u_str ESTAB 0      0                                                           * 848131              * 838370       
u_str ESTAB 0      0                                                           * 828138              * 828139       
u_str ESTAB 408    0                                                           * 792565              * 794390       
u_str ESTAB 0      0                                                           * 734014              * 738626       
u_dgr ESTAB 0      0                                                           * 10768               * 6668         
u_dgr ESTAB 0      0                                                           * 4734                * 4735         
u_str ESTAB 0      0                                                           * 807323              * 799516       
u_str ESTAB 0      0                                                           * 791299              * 797116       
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 18795               * 19819        
u_str ESTAB 0      0                                                           * 17786               * 18770        
u_str ESTAB 0      0                                                           * 18736               * 17370        
u_str ESTAB 0      0                                                           * 831651              * 831650       
u_str ESTAB 0      0                                                           * 826936              * 826937       
u_str ESTAB 136    0                                                           * 829049              * 824870       
u_str ESTAB 0      0                                                           * 802553              * 802554       
u_str ESTAB 0      0                                                           * 23781               * 17391        
u_str ESTAB 0      0                                                           * 834863              * 834862       
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-Q7GFhPCr 802268              * 797513       
u_str ESTAB 0      0                                /run/gdm3/dbus/dbus-BkilT525 11223               * 10178        
u_str ESTAB 0      0                                                           * 10767               * 14008        
u_str ESTAB 0      0                                                           * 828136              * 828137       
u_seq ESTAB 0      0                                                           * 779642              * 779643       
u_str ESTAB 0      0                                                           * 20683               * 24669        
u_str ESTAB 0      0                                                           * 15858               * 14285        
u_str ESTAB 0      0                                                           * 822206              * 822205       
u_seq ESTAB 0      0                                                           * 822201              * 822200       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 736907              * 741420       
u_str ESTAB 0      0                                                           * 21729               * 21730        
u_str ESTAB 0      0                                                           * 25701               * 25700        
u_str ESTAB 0      0                                                           * 18737               * 16215        
u_str ESTAB 0      0                                                           * 17721               * 24635        
u_str ESTAB 0      0                                                           * 827386              * 825206       
u_str ESTAB 0      0                                                           * 831630              * 831631       
u_str ESTAB 0      0                                                           * 773654              * 781598       
u_str ESTAB 0      0                                                           * 23783               * 18771        
u_str ESTAB 0      0                                                           * 821075              * 821076       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 9868                * 14110        
u_str ESTAB 0      0                                                           * 17387               * 24676        
u_str ESTAB 0      0                                          /run/user/1000/bus 17354               * 17723        
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-uDLp2iG0 821356              * 820344       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 784872              * 787672       
u_str ESTAB 0      0                                                           * 56842               * 61501        
u_str ESTAB 680    0                                                           * 18792               * 19813        
u_str ESTAB 0      0                                                           * 21654               * 25636        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 15588               * 666          
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15570               * 8930         
u_str ESTAB 0      0                                                           * 829229              * 829230       
u_str ESTAB 0      0                                                           * 831596              * 831597       
u_str ESTAB 0      0                                                           * 826937              * 826936       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 22705               * 20684        
u_str ESTAB 0      0                                                           * 22614               * 20640        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 9815                * 9814         
u_str ESTAB 0      0                                                           * 10692               * 11847        
u_dgr ESTAB 0      0                                                           * 233                 * 6670         
u_seq ESTAB 0      0                                                           * 27783               * 27784        
u_str ESTAB 0      0                                                           * 824873              * 824872       
u_str ESTAB 0      0                                                           * 791298              * 777216       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 781899              * 774084       
u_str ESTAB 0      0                                          /run/user/1000/bus 36767               * 49118        
u_str ESTAB 680    0                                                           * 21667               * 17384        
u_str ESTAB 0      0                                                           * 17727               * 25666        
u_str ESTAB 0      0                                                           * 18751               * 22693        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 19785               * 19784        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 5092                * 16101        
u_str ESTAB 0      0                                                           * 831597              * 831596       
u_seq ESTAB 0      0                                                           * 822850              * 822849       
u_str ESTAB 0      0                                                           * 23664               * 21623        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 11919               * 10803        
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 819143              * 829050       
u_str ESTAB 0      0                                                           * 797549              * 805099       
u_str ESTAB 0      0                                                           * 20684               * 22705        
u_str ESTAB 0      0                                                           * 828140              * 828141       
u_str ESTAB 0      0                                                           * 60016               * 57730        
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 25689               * 21666        
u_str ESTAB 0      0                                          /run/user/1000/bus 17724               * 18750        
u_str ESTAB 0      0                                                           * 8930                * 15570        
u_str ESTAB 0      0                                                           * 737471              * 734024       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 738625              * 734009       
u_str ESTAB 0      0                                                           * 17782               * 17390        
u_dgr ESTAB 0      0                                                           * 10207               * 6668         
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 14746               * 14745        
u_str ESTAB 0      0                                                           * 827235              * 827234       
u_str ESTAB 0      0                                                           * 829050              * 819143       
u_str ESTAB 0      0                                                           * 23797               * 23798        
u_str ESTAB 0      0                                                           * 14110               * 9868         
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 14008               * 10767        
u_str ESTAB 0      0                                          /run/user/1000/bus 18632               * 19622        
u_str ESTAB 0      768                                        /run/user/1000/bus 838679              * 830145       
u_str ESTAB 0      0                                                           * 828228              * 827220       
u_str ESTAB 0      0                                                           * 805393              * 805392       
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 797116              * 791299       
u_str ESTAB 0      0                                                           * 787672              * 784872       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 20679               * 18752        
u_str ESTAB 0      0                                          /run/user/1000/bus 16162               * 17715        
u_str ESTAB 0      0                                                           * 847387              * 847386       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 803965              * 800003       
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 23722               * 19801        
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 17368               * 20670        
u_str ESTAB 0      0                                                           * 21613               * 18701        
u_str ESTAB 0      0                                                           * 829046              * 826183       
u_str ESTAB 0      0                                                           * 7879                * 10629        
u_str ESTAB 680    0                                                           * 20688               * 17386        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 20640               * 22614        
u_str ESTAB 0      0                                                           * 828235              * 828236       
u_str ESTAB 0      0                                                           * 800003              * 803965       
u_str ESTAB 0      0                                                           * 49118               * 36767        
u_str ESTAB 0      0                                                           * 19862               * 27701        
u_str ESTAB 0      0                                          /run/user/1000/bus 24635               * 17721        
u_str ESTAB 0      0                                        @/tmp/.ICE-unix/2436 23646               * 21595        
u_str ESTAB 0      0                                                           * 14720               * 14721        
u_str ESTAB 0      0                                                           * 824436              * 824437       
u_str ESTAB 0      0                                                           * 18756               * 22694        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 681                 * 680          
u_str ESTAB 0      0                                                           * 826946              * 826945       
u_str ESTAB 0      0                                                           * 819491              * 821353       
u_str ESTAB 0      0                                                           * 797527              * 802273       
u_str ESTAB 0      0                                                           * 24270               * 24271        
u_str ESTAB 0      3072                                       /run/user/1000/bus 775152              * 773655       
u_str ESTAB 0      0                                                           * 20685               * 21663        
u_str ESTAB 0      0                                                           * 10722               * 15549        
u_str ESTAB 0      0                                                           * 734009              * 738625       
u_str ESTAB 0      0                                 /run/user/1000/pulse/native 33839               * 22315        
u_str ESTAB 0      0                                                           * 27683               * 19827        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 22693               * 18751        
u_str ESTAB 0      0                                                           * 25715               * 21696        
u_str ESTAB 0      0                                                           * 17717               * 18694        
u_str ESTAB 0      0                                                           * 827032              * 827031       
u_dgr ESTAB 0      0                                                           * 21690               * 6668         
u_str ESTAB 0      0                                                           * 10177               * 5926         
u_str ESTAB 0      0                                                           * 13958               * 14742        
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 23721               * 23720        
u_str ESTAB 0      0                                          /run/user/1000/bus 17675               * 19680        
u_str ESTAB 0      0                                                           * 828135              * 828134       
u_str ESTAB 0      0                                                           * 781576              * 769838       
u_str ESTAB 0      0                                                           * 741431              * 738628       
u_str ESTAB 0      0                                          /run/user/1000/bus 21696               * 25715        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 21680               * 17792        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 18733               * 18732        
u_dgr ESTAB 0      0                                                           * 15184               * 6670         
u_dgr ESTAB 0      768                                                         * 11008               * 11007        
u_dgr ESTAB 0      768                                                         * 4735                * 4734         
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 773898              * 776491       
u_seq ESTAB 0      0                                                           * 822852              * 822851       
u_str ESTAB 0      0                                                           * 802554              * 802553       
u_str ESTAB 0      0                                                           * 23798               * 23797        
u_str ESTAB 0      0                                                           * 22622               * 22623        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15567               * 9802         
u_str ESTAB 0      0                                                           * 834861              * 834860       
u_seq ESTAB 0      0                                                           * 21270               * 21269        
u_str ESTAB 0      0                                                           * 828143              * 828142       
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-6VbP4ttL 804177              * 807329       
u_str ESTAB 0      0                                          /run/user/1000/bus 19810               * 18774        
u_str ESTAB 0      0                                                           * 824437              * 824436       
u_str ESTAB 0      0                                                           * 809566              * 809567       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 809061              * 800162       
u_str ESTAB 0      0                                                           * 784600              * 784601       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 775146              * 777961       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 770165              * 771084       
u_str ESTAB 816    0                                                           * 19730               * 17698        
u_str ESTAB 0      0                                                           * 10178               * 11223        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15565               * 4758         
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 13546               * 10289        
u_str ESTAB 0      0                                          /run/user/1000/bus 824869              * 829048       
u_dgr ESTAB 0      0                                                           * 1954                * 6670         
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 832510              * 830144       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 792573              * 791297       
u_str ESTAB 0      0                                                           * 779525              * 776490       
u_str ESTAB 0      0                                          /run/user/1000/bus 17793               * 18791        
u_str ESTAB 0      0                                                           * 16188               * 24609        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 18701               * 21613        
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 838370              * 848131       
u_seq ESTAB 0      0                                                           * 822200              * 822201       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 769838              * 781576       
u_str ESTAB 0      0                                                           * 17723               * 17354        
u_str ESTAB 0      0                                                           * 829048              * 824869       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 803189              * 797546       
u_str ESTAB 0      0                                                           * 19626               * 17604        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 825206              * 827386       
u_str ESTAB 0      0                                          /run/user/1000/bus 22623               * 22622        
u_str ESTAB 0      0                                                           * 828233              * 828234       
u_str ESTAB 0      0                                                           * 792566              * 800819       
u_str ESTAB 0      0                                                           * 741420              * 736907       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 21679               * 17791        
u_str ESTAB 0      0                                                           * 784601              * 784600       
u_str ESTAB 0      0                                                           * 22315               * 33839        
u_str ESTAB 0      0                                                           * 18791               * 17793        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 15604               * 8969         
u_str ESTAB 0      0                                                           * 846391              * 840607       
u_str ESTAB 0      0                                                           * 822914              * 822915       
u_seq ESTAB 0      0                                                           * 802549              * 802550       
u_str ESTAB 0      0                                                           * 773667              * 777966       
u_str ESTAB 0      0                                                           * 797547              * 804170       
u_seq ESTAB 0      0                                                           * 21269               * 21270        
u_str ESTAB 0      4608                                       /run/user/1000/bus 17698               * 19730        
u_str ESTAB 0      0                                                           * 10803               * 11919        
u_str ESTAB 0      0                                                           * 4758                * 15565        
u_dgr ESTAB 0      0                                                           * 14603               * 6670         
