Netid State Recv-Q Send-Q                                          Local Address:Port     Peer Address:Port  Process
u_str ESTAB 0      0                                                           * 6063                * 23639        
u_str ESTAB 0      0                                                           * 5499                * 11857        
u_dgr ESTAB 0      0                                                           * 5440                * 5439         
u_str ESTAB 0      0                                      /run/snapd-snap.socket 19854               * 24811        
u_str ESTAB 0      0                                          /run/user/1000/bus 6140                * 25643        
u_str ESTAB 0      0                                                           * 849303              * 847842       
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 22733               * 26673        
u_str ESTAB 0      0                                                           * 25694               * 18768        
u_str ESTAB 0      0                                                           * 17362               * 19802        
u_str ESTAB 0      0                                                           * 18716               * 18717        
u_str ESTAB 112    0                                                           * 20513               * 15273        
u_str ESTAB 112    0                                                           * 13258               * 15270        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 15045               * 5835         
u_str ESTAB 0      0                                                           * 15572               * 15571        
u_str ESTAB 0      0                                                           * 826215              * 826216       
u_str ESTAB 0      0                                                           * 830838              * 830839       
u_str ESTAB 0      0                                          /run/user/1000/bus 802820              * 799080       
u_str ESTAB 0      0                                                           * 16333               * 27741        
u_str ESTAB 0      0                                                           * 25607               * 17366        
u_str ESTAB 0      0                                                           * 25692               * 17364        
u_dgr ESTAB 0      0                                                           * 5439                * 5440         
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-UDiPadPG 815635              * 821347       
u_str ESTAB 0      0                                                           * 832642              * 832641       
u_str ESTAB 0      0                                                           * 799511              * 802288       
u_str ESTAB 0      0                                          /run/user/1000/bus 20661               * 25606        
u_str ESTAB 0      0                                                           * 17240               * 17603        
u_str ESTAB 0      0                                                           * 13252               * 5095         
u_str ESTAB 0      0                                                           * 11196               * 13180        
u_str ESTAB 0      0                                                           * 826306              * 826307       
u_str ESTAB 0      0                                                           * 16332               * 27740        
u_str ESTAB 0      3840                                       /run/user/1000/bus 17380               * 22729        
u_str ESTAB 0      0                                                           * 5992                * 23566        
u_str ESTAB 0      0                                                           * 821347              * 815635       
u_str ESTAB 0      0                                                           * 25621               * 19793        
u_dgr ESTAB 0      0                                                           * 5437                * 5438         
u_str ESTAB 0      0                                                           * 847882              * 845353       
u_str ESTAB 0      0                                          /run/user/1000/bus 802180              * 804060       
u_str ESTAB 680    0                                                           * 22729               * 17380        
u_str ESTAB 0      0                                                           * 18699               * 24589        
u_str ESTAB 0      0                                                           * 23638               * 23637        
u_str ESTAB 0      0                                                           * 12761               * 4780         
u_str ESTAB 136    0                                                           * 830844              * 819142       
u_str ESTAB 0      0                                                           * 18225               * 18224        
u_str ESTAB 0      0                                                           * 16285               * 21676        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 13309               * 12220        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 17603               * 17240        
u_str ESTAB 0      0                                                           * 5835                * 15045        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15546               * 11880        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 25648               * 25647        
u_str ESTAB 0      0                                                           * 832815              * 832814       
u_str ESTAB 408    0                                                           * 795532              * 799889       
u_str ESTAB 0      0                                                           * 17353               * 16240        
u_str ESTAB 0      0                                                           * 12186               * 5091         
u_str ESTAB 0      0                          /run/systemd/io.systemd.ManagedOOM 7926                * 5431         
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 845353              * 847882       
u_str ESTAB 0      0                                                           * 840319              * 840318       
u_str ESTAB 0      0                                                           * 826216              * 826215       
u_str ESTAB 0      0                                                           * 830847              * 826194       
u_str ESTAB 0      0                                                           * 16322               * 27724        
u_str ESTAB 0      0                                                           * 26665               * 17736        
u_str ESTAB 816    0                                                           * 6062                * 16156        
u_str ESTAB 0      0                                          /run/user/1000/bus 17602               * 18629        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 4779                * 15583        
u_str ESTAB 0      0                                                           * 832108              * 832109       
u_dgr ESTAB 0      0                                                           * 17294               * 6668         
u_str ESTAB 0      0                                                           * 799076              * 801806       
u_str ESTAB 0      0                                                           * 18732               * 18733        
u_str ESTAB 0      0                                                           * 6078                * 20658        
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 820607              * 812974       
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 803862              * 801840       
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 30068               * 33844        
u_str ESTAB 0      0                                                           * 18874               * 18875        
u_str ESTAB 0      0                                                           * 26637               * 20681        
u_str ESTAB 0      0                                                           * 16242               * 25646        
